"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"CHANGED","85418-2","Diagnosis for interruption or death","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","85419-0","Complications during rehabilitation stay","Find","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","85419-0","Complications during rehabilitation stay","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","85476-0","Influenza virus A & B & Respiratory syncytial virus RNA panel","-","Pt","Respiratory.upper","-","Probe.amp.tar","PANEL.MICRO"
"CHANGED","85476-0","Influenza virus A & B & Respiratory syncytial virus RNA panel","-","Pt","Respiratory system specimen.upper","-","Probe.amp.tar","PANEL.MICRO"
"BEFORE","85477-8","Influenza virus A RNA","PrThr","Pt","Respiratory.upper","Ord","Probe.amp.tar","MICRO"
"CHANGED","85477-8","Influenza virus A RNA","PrThr","Pt","Respiratory system specimen.upper","Ord","Probe.amp.tar","MICRO"
"BEFORE","85478-6","Influenza virus B RNA","PrThr","Pt","Respiratory.upper","Ord","Probe.amp.tar","MICRO"
"CHANGED","85478-6","Influenza virus B RNA","PrThr","Pt","Respiratory system specimen.upper","Ord","Probe.amp.tar","MICRO"
"BEFORE","85479-4","Respiratory syncytial virus RNA","PrThr","Pt","Respiratory.upper","Ord","Probe.amp.tar","MICRO"
"CHANGED","85479-4","Respiratory syncytial virus RNA","PrThr","Pt","Respiratory system specimen.upper","Ord","Probe.amp.tar","MICRO"
"BEFORE","85483-6","IRF-PAI v3.0, LCDS v3.00 - Program interruption dates","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85483-6","IRF-PAI v3.0, LCDS v3.00 - Program interruption dates","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85632-8","Facility type","Type","Pt","Facility","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","85632-8","Facility type","Type","RptPeriod","Facility","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","85636-9","LCDS v4.00 - Administrative information - admission","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85636-9","LCDS v4.00 - Administrative information - admission","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85637-7","LCDS v3.00 - Assessment administration","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85637-7","LCDS v3.00 - Assessment administration","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85642-7","LCDS - Prior functioning: everyday activities","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85642-7","LCDS - Prior functioning: everyday activities","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85643-5","LCDS v3.00 - Special treatments, procedures, and programs - admission","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85643-5","LCDS v3.00 - Special treatments, procedures, and programs - admission","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85648-4","Signature of persons completing the assessment","-","Pt","Form","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85648-4","Signature of persons completing the assessment","-","RptPeriod","Form","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85663-3","LCDS v3.00 - Administrative information - discharge","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85663-3","LCDS v3.00 - Administrative information - discharge","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85670-8","LCDS v3.00 - Skin conditions - discharge","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85670-8","LCDS v3.00 - Skin conditions - discharge","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85673-2","LCDS v4.00 - Administrative information - expired","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85673-2","LCDS v4.00 - Administrative information - expired","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85813-4","IRF-PAI - Payment source","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85813-4","IRF-PAI - Payment source","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85814-2","IRF-PAI - Signature of persons completing the assessment","-","Pt","Form","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85814-2","IRF-PAI - Signature of persons completing the assessment","-","RptPeriod","Form","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85815-9","LCDS - Pre-admission service use","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85815-9","LCDS - Pre-admission service use","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85816-7","LCDS v4.00 - Patient demographic information - admission","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85816-7","LCDS v4.00 - Patient demographic information - admission","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85817-5","LCDS v4.00 - Patient demographic information - discharge and expired","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85817-5","LCDS v4.00 - Patient demographic information - discharge and expired","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85845-6","Impairment group","Find","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","85845-6","Impairment group","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","85846-4","Swallowing status","Find","Pt","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"CHANGED","85846-4","Swallowing status","Find","RptPeriod","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"BEFORE","85906-6","Home health patient tracking sheet - resumption of care","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85906-6","Home health patient tracking sheet - resumption of care","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85908-2","Home health patient tracking sheet - start of care","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85908-2","Home health patient tracking sheet - start of care","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85909-0","OASIS C2 - Patient history and diagnoses - start of care or resumption of care","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85909-0","OASIS C2 - Patient history and diagnoses - start of care or resumption of care","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85911-6","Diagnoses, symptom control, and optional diagnoses","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85911-6","Diagnoses, symptom control, and optional diagnoses","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85912-4","Primary diagnosis","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85912-4","Primary diagnosis","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85913-2","Other diagnoses","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85913-2","Other diagnoses","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85914-0","Underlying resolved condition ICD code","Prid","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","85914-0","Underlying resolved condition ICD code","Prid","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","85915-7","Episode of care includes influenza vaccination season","Find","Pt","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"CHANGED","85915-7","Episode of care includes influenza vaccination season","Find","RptPeriod","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"BEFORE","85917-3","OASIS C2 - Integumentary status - start of care or resumption of care","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85917-3","OASIS C2 - Integumentary status - start of care or resumption of care","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85918-1","Unhealed pressure injury at stage 2 or higher or designated as unstageable","Find","Pt","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"CHANGED","85918-1","Unhealed pressure injury at stage 2 or higher or designated as unstageable","Find","RptPeriod","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"BEFORE","85919-9","OASIS C2 - Current number of unhealed pressure injuries at each stage - start of care or resumption of care","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85919-9","OASIS C2 - Current number of unhealed pressure injuries at each stage - start of care or resumption of care","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85920-7","Symptom control rating","Find","Pt","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"CHANGED","85920-7","Symptom control rating","Find","RptPeriod","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"BEFORE","85921-5","OASIS C2 - Respiratory status - start of care or resumption of care","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85921-5","OASIS C2 - Respiratory status - start of care or resumption of care","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85923-1","OASIS C2 - ADL and IADLs - start of care or resumption of care","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85923-1","OASIS C2 - ADL and IADLs - start of care or resumption of care","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85924-9","OASIS C2 - Functional abilities and goals - start of care or resumption of care","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85924-9","OASIS C2 - Functional abilities and goals - start of care or resumption of care","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85925-6","OASIS C2 - Mobility","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85925-6","OASIS C2 - Mobility","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85926-4","Lying to sitting on side of bed - functional ability","Find","Pt","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"CHANGED","85926-4","Lying to sitting on side of bed - functional ability","Find","RptPeriod","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"BEFORE","85927-2","Lying to sitting on side of bed - functional goal","Find","Pt","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"CHANGED","85927-2","Lying to sitting on side of bed - functional goal","Find","RptPeriod","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"BEFORE","85928-0","OASIS C2 - Medications - start of care or resumption of care","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85928-0","OASIS C2 - Medications - start of care or resumption of care","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","85950-4","Living situation and availability of assistance","Find","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","85950-4","Living situation and availability of assistance","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","85951-2","Living Arrangements","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","85951-2","Living Arrangements","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86185-6","Prior functioning.ambulation","Find","Pt","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"CHANGED","86185-6","Prior functioning.ambulation","Find","RptPeriod","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"BEFORE","86186-4","Prior functioning.transfer","Find","Pt","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"CHANGED","86186-4","Prior functioning.transfer","Find","RptPeriod","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"BEFORE","86187-2","Prior functioning.household tasks","Find","Pt","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"CHANGED","86187-2","Prior functioning.household tasks","Find","RptPeriod","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"BEFORE","86245-8","OASIS E - Administrative Information - FU","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86245-8","OASIS E - Administrative Information - FU","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86246-6","OASIS C2 - Patient history and diagnoses - follow-up","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86246-6","OASIS C2 - Patient history and diagnoses - follow-up","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86247-4","Sensory status - follow-up","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86247-4","Sensory status - follow-up","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86248-2","OASIS C2 - Integumentary status - follow-up","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86248-2","OASIS C2 - Integumentary status - follow-up","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86249-0","OASIS C2, D - Respiratory status - follow-up or discharge","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86249-0","OASIS C2, D - Respiratory status - follow-up or discharge","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86251-6","OASIS C2, D - ADL and IADLs - follow-up","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86251-6","OASIS C2, D - ADL and IADLs - follow-up","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86252-4","OASIS C2, D - Medications - follow-up","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86252-4","OASIS C2, D - Medications - follow-up","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86253-2","Therapy need and plan of care - follow-up","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86253-2","Therapy need and plan of care - follow-up","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86254-0","Underlying resolved condition.multiple coding ICD code","Prid","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","86254-0","Underlying resolved condition.multiple coding ICD code","Prid","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","86256-5","Patient history and diagnoses - transfer or discharge from agency","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86256-5","Patient history and diagnoses - transfer or discharge from agency","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86257-3","Clinical record items - transfer or discharge","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86257-3","Clinical record items - transfer or discharge","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86258-1","OASIS C2, D - Medications - transfer to inpatient facility","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86258-1","OASIS C2, D - Medications - transfer to inpatient facility","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86260-7","Data items collected at inpatient facility admission or agency discharge only - transfer","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86260-7","Data items collected at inpatient facility admission or agency discharge only - transfer","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86262-3","OASIS E - Medications - TRN","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86262-3","OASIS E - Medications - TRN","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86263-1","Data items collected at inpatient facility admission or agency discharge only - discharge from agency - death at home","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86263-1","Data items collected at inpatient facility admission or agency discharge only - discharge from agency - death at home","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86265-6","OASIS C2 - Medications - discharge from agency","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86265-6","OASIS C2 - Medications - discharge from agency","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86266-4","Sensory status - discharge from agency","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86266-4","Sensory status - discharge from agency","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86267-2","OASIS C2 - Integumentary status - discharge from agency","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86267-2","OASIS C2 - Integumentary status - discharge from agency","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86268-0","Worsening in pressure injury status since start or resumption of home care","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86268-0","Worsening in pressure injury status since start or resumption of home care","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86269-8","OASIS C2 - Elimination status - discharge from agency","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86269-8","OASIS C2 - Elimination status - discharge from agency","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86270-6","Current number of unhealed pressure injuries at each stage - follow-up or discharge","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86270-6","Current number of unhealed pressure injuries at each stage - follow-up or discharge","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86469-4","Conditions prior to medical or treatment regimen change or inpatient stay that took place within past 14D","Find","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","86469-4","Conditions prior to medical or treatment regimen change or inpatient stay that took place within past 14D","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","86523-8","MDS v3.0 - RAI v1.14.1, v1.15.1, v1.16.1 - Identification information","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86523-8","MDS v3.0 - RAI v1.14.1, v1.15.1, v1.16.1 - Identification information","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86524-6","Type of assessment","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86524-6","Type of assessment","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86525-3","SNF Part A PPS discharge assessment","Find","Pt","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"CHANGED","86525-3","SNF Part A PPS discharge assessment","Find","RptPeriod","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"BEFORE","86526-1","Unit certification or licensure designation","Type","Pt","Facility","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","86526-1","Unit certification or licensure designation","Type","RptPeriod","Facility","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","86527-9","Conditions related to intellectual disability and developmental disability status","Find","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","86527-9","Conditions related to intellectual disability and developmental disability status","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","86528-7","Most recent admission &or entry or reentry into this facility","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86528-7","Most recent admission &or entry or reentry into this facility","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86529-5","MDS v3.0 - RAI v1.17.2 - Cognitive patterns","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86529-5","MDS v3.0 - RAI v1.17.2 - Cognitive patterns","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86584-0","Delirium","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86584-0","Delirium","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86585-7","MDS v3.0 - RAI v1.17.2, OASIS E - Signs and symptoms of delirium (from CAM)","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86585-7","MDS v3.0 - RAI v1.17.2, OASIS E - Signs and symptoms of delirium (from CAM)","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86595-6","MDS v3.0 - RAI v1.16.1 - Staff assessment for mental status","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86595-6","MDS v3.0 - RAI v1.16.1 - Staff assessment for mental status","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86596-4","Behavior","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86596-4","Behavior","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86599-8","Staff assessment of daily and activity preferences","Find","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","86599-8","Staff assessment of daily and activity preferences","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","86600-4","Preferences for customary routine and activities","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86600-4","Preferences for customary routine and activities","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86601-2","Functional status","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86601-2","Functional status","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86623-6","MDS v3.0 - RAI v1.14.1 - Bladder and bowel","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86623-6","MDS v3.0 - RAI v1.14.1 - Bladder and bowel","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86625-1","MDS v3.0 - RAI v1.14.1, v1.15.1, v1.16.1 - Swallowing &or nutritional status","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86625-1","MDS v3.0 - RAI v1.14.1, v1.15.1, v1.16.1 - Swallowing &or nutritional status","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86670-7","MDS v3.0 - RAI v1.17.2 - Active diagnoses - ND","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86670-7","MDS v3.0 - RAI v1.17.2 - Active diagnoses - ND","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86674-9","Other health conditions","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86674-9","Other health conditions","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86679-8","Percent intake by artificial route","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86679-8","Percent intake by artificial route","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86686-3","MDS v3.0 - RAI v1.14.1, v1.15.1 - Health conditions","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86686-3","MDS v3.0 - RAI v1.14.1, v1.15.1 - Health conditions","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86707-7","MDS v3.00 - RAI v1.14.1 - Skin conditions","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86707-7","MDS v3.00 - RAI v1.14.1 - Skin conditions","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86745-7","MDS v3.0 - RAI v1.14.1, v1.15.1 - Current number of unhealed pressure injuries at each stage","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86745-7","MDS v3.0 - RAI v1.14.1, v1.15.1 - Current number of unhealed pressure injuries at each stage","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86746-5","Dimensions of unhealed stage 3 or 4 pressure injuries or eschar","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86746-5","Dimensions of unhealed stage 3 or 4 pressure injuries or eschar","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86749-9","Medications","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86749-9","Medications","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86750-7","Medications received","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86750-7","Medications received","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86758-0","MDS v3.0 - RAI v1.14.1, v1.15.1, v1.16.1 - Special treatments, procedures, and programs","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86758-0","MDS v3.0 - RAI v1.14.1, v1.15.1, v1.16.1 - Special treatments, procedures, and programs","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86759-8","MDS v3.0 - RAI v1.17.1, 1.17.2 - Special treatments, procedures, and programs","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86759-8","MDS v3.0 - RAI v1.17.1, 1.17.2 - Special treatments, procedures, and programs","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86762-2","Therapies","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86762-2","Therapies","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86763-0","Speech-language pathology and audiology services","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86763-0","Speech-language pathology and audiology services","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86767-1","Occupational therapy","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86767-1","Occupational therapy","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86768-9","Physical therapy","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"CHANGED","86768-9","Physical therapy","-","RptPeriod","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
"BEFORE","86770-5","Resumption of therapy","-","Pt","^Patient","-","CMS Assessment","PANEL.SURVEY.CMS"
